title,genre
3 Idiots,Comedy
Chhichhore,Comedy
Thank God ,Comedy
Dear Zindagi,Comedy
Krazzy 4,Comedy
Wake up Sid,Comedy
Don't look up,Comedy
Mask ,Comedy
Lage raho munna bhai,Comedy
Munna Bhai MBBS,Comedy
M.S.dhoni,Biography
Guru,Biography
Sala khadush,Biography
Manjhi - The Mountain Man,Biography
Super 30,Biography
Mary Kom ,Biography
Shershaah,Biography
Pirates of silicon valley,Biography
The founder ,Biography
Elvis,Biography
Lucy,SciFi
Dune,SciFi
Freeguy,SciFi
The Martian,SciFi
2001: A Space Odyssey,SciFi
Wall-E,SciFi
Arrival,SciFi
Her,SciFi
Interstellar,SciFi
Star Trek,SciFi
Life of Pi,Adventure Drama
127 hour,Adventure Drama
Back to future ,Adventure Drama
Jindagi na milegi dubara,Adventure Drama
Jagga jasus,Adventure Drama
Pursuit of happyness,Drama
Ye javani hai diwani ,Romance Drama
Silver Linings Playbook,Romance Drama
The Nightmare Before Christmas,Romance Drama
Kabhi Khushi Kabhie Gham,Romance Drama
The Avengers,Action
Die Hard,Action
Wonder Woman,Action
Mission: Impossible - Fallout,Action
The Dark Knight,Action
Inception,Action
Dunkirk,Action
Tenet,Action
All Quiet on the Western Front,Action
Moana,Action
